Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,SystemCount,GridSize,ObstacleRatio,EntityCount,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
SystemExecutionBenchmarks,Execute_NoObserver,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,?,?,?,3.394 ns,0.0486 ns,0.0455 ns,1.00,0.02,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_AllTicksSampled,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,?,?,?,144.427 ns,2.2708 ns,2.1241 ns,42.56,0.82,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_UnsampledTick,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,?,?,?,7.186 ns,0.0499 ns,0.0442 ns,2.12,0.03,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_NoObserver,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,?,?,?,24.052 ns,0.2186 ns,0.2045 ns,1.00,0.01,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_AllTicksSampled,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,?,?,?,479.578 ns,2.1512 ns,1.9070 ns,19.94,0.18,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_UnsampledTick,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8,?,?,?,28.889 ns,0.2207 ns,0.2064 ns,1.20,0.01,0.0000,0.0000,0.0000,0 B,NA
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0,?,"124,044.748 ns","2,093.6693 ns","2,722.3617 ns",1.00,0.03,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0,?,"128,208.318 ns","2,405.6893 ns","2,362.7086 ns",1.03,0.03,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.1,?,"128,635.993 ns","2,492.0524 ns","2,769.9096 ns",1.00,0.03,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.1,?,"250,450.371 ns","3,898.0515 ns","3,646.2398 ns",1.95,0.05,15.6250,2.1973,0.0000,73912 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.2,?,"127,395.524 ns","2,479.4826 ns","2,319.3095 ns",1.00,0.02,15.6250,2.1973,0.0000,74128 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,16,0.2,?,"234,370.347 ns","3,871.7651 ns","3,621.6515 ns",1.84,0.04,15.6250,1.7090,0.0000,73552 B,0.99
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0,?,"488,077.977 ns","7,053.4844 ns","6,597.8337 ns",1.00,0.02,38.5742,1.4648,0.0000,183728 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0,?,"499,477.423 ns","6,781.0931 ns","6,343.0387 ns",1.02,0.02,38.5742,1.4648,0.0000,183728 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0.1,?,"500,496.323 ns","7,951.7609 ns","7,438.0821 ns",1.00,0.02,38.5742,1.4648,0.0000,183728 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0.1,?,"992,373.069 ns","19,083.7472 ns","19,597.6034 ns",1.98,0.05,37.1094,5.8594,0.0000,183585 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0.2,?,"497,193.453 ns","9,662.2739 ns","10,338.5248 ns",1.00,0.03,38.0859,2.9297,0.0000,183728 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,32,0.2,?,"1,012,294.243 ns","19,868.0154 ns","23,651.4611 ns",2.04,0.06,37.1094,7.8125,0.0000,183299 B,1.00
SystemExecutionBenchmarks,Execute_NoObserver,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32,?,?,?,105.376 ns,2.0439 ns,1.9118 ns,1.00,0.02,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_AllTicksSampled,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32,?,?,?,"1,991.960 ns",32.7879 ns,29.0657 ns,18.91,0.43,0.0000,0.0000,0.0000,0 B,NA
SystemExecutionBenchmarks,Execute_WithMetricsObserver_UnsampledTick,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32,?,?,?,108.186 ns,1.6894 ns,1.5802 ns,1.03,0.02,0.0000,0.0000,0.0000,0 B,NA
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,64,0,?,"2,155,063.464 ns","41,720.4018 ns","39,025.2897 ns",1.00,0.02,148.4375,74.2188,74.2188,757599 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,64,0,?,"2,143,528.999 ns","42,455.6810 ns","47,189.3769 ns",0.99,0.03,148.4375,74.2188,74.2188,757597 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,64,0.1,?,"2,156,387.424 ns","42,983.1400 ns","57,381.2621 ns",1.00,0.04,148.4375,74.2188,74.2188,757597 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,64,0.1,?,"4,989,771.698 ns","76,726.2897 ns","71,769.8190 ns",2.32,0.07,148.4375,70.3125,70.3125,757597 B,1.00
MovementPathfinderBenchmarks,TryFindPath_OpenGrid,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,64,0.2,?,"2,077,500.664 ns","39,700.4496 ns","42,479.0363 ns",1.00,0.03,148.4375,74.2188,74.2188,757594 B,1.00
MovementPathfinderBenchmarks,TryFindPath_WithObstacles,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,64,0.2,?,"4,922,881.300 ns","58,238.6150 ns","54,476.4366 ns",2.37,0.05,148.4375,70.3125,70.3125,757448 B,1.00
QueryBenchmarks,QueryEach_PositionVelocity,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,?,?,100,225.590 ns,4.0680 ns,3.8052 ns,?,?,0.0253,0.0000,0.0000,120 B,?
QueryBenchmarks,QueryEach_PositionVelocity,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,?,?,1000,"1,025.928 ns",14.6160 ns,13.6718 ns,?,?,0.0248,0.0000,0.0000,120 B,?
QueryBenchmarks,QueryEach_PositionVelocity,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,?,?,10000,"12,095.055 ns",105.2347 ns,93.2878 ns,?,?,0.0153,0.0000,0.0000,120 B,?
